question_id,source,question,gold_answer,candidate_answer,label,core_correct,core_correct_signal,core_grounded,core_grounded_signal,num_extra_claims,human_verdict_agrees
5a8ab6105542996c9b8d5f5d,unsupported_additional_clause,"Sugata Marjit is the former Vice Chancellor of which public state university located in Kolkata (formerly ""Calcutta""), West Bengal, India established on 24 January 1857?",University of Calcutta,"University of Calcutta, related to R. G. Kar Medical College and Hospital",PARTIAL,True,exact_match,True,verbatim_span_supporting_title,2,
5a775b8b5542994aec3b72a7,gold,Who was hired in April 2010 to replace former head coach Cindy Stein of the team that lost in the second round of the SEC Women's Tournament to Auburn?,Robin Pingeton,Robin Pingeton,SUPPORTED,True,exact_match,True,verbatim_span_supporting_title,0,
5a8dec9f55429917b4a5bcde,plausible_location_swap,what kind of music is in Vanessa and King Priam?,opera,New York City,UNSUPPORTED,False,"embedding_sim=0.50,token_f1=0.00",True,verbatim_span_supporting_title,0,
5ac39a1c554299657fa290f9,plausible_person_swap,In what city was the theme park located that ran along the interstate that runs between Interstate 70 and Interstate 35 in Kansas?,Park City,Manitoba Highway,UNSUPPORTED,False,"embedding_sim=0.47,token_f1=0.00",True,verbatim_span_other_title,0,
5ac3b0f15542995ef918c1fc,gold,Will Penny was a western starring the actor and activist of what nationality?,American,American,SUPPORTED,True,exact_match,True,verbatim_span_supporting_title,0,
5a88839c5542994846c1ce8b,number_date_replacement_context,How many teams were members of the conference Eastern Kentucky was in in the 2013-14 season?,12,2013,UNSUPPORTED,False,llm_equivalence,True,verbatim_span_supporting_title,0,
5a8d863c554299068b959d2b,unsupported_additional_clause,"Which canal is the largest and most important drainage canal in the city of New Orleans, the 17th Street Canal or Champlain Canal?",17th Street Canal,"17th Street Canal, related to New Orleans Outfall Canals",SUPPORTED,True,exact_match,True,verbatim_span_supporting_title,1,
5ae60a1d55429929b0807aa3,random_location,"How many games did the player known as ""The Process"" play in his first season for the Philadelphia 76ers?",31 games,Lisbon,UNSUPPORTED,False,"embedding_sim=0.52,token_f1=0.00",False,entity_coverage=0.00,0,
5a80d542554299260e20a182,truncation,"What 2002 Walt Disney film starring Dennis Quaid features the single ""Slow Turning""?",The Rookie,The,SUPPORTED,True,containment,True,verbatim_span_supporting_title,0,
5addff755542997545bbbdee,random_location,What rock band formed in New York in 1981 worked with Martin Bisi?,Sonic Youth,Helsinki,UNSUPPORTED,False,"embedding_sim=0.51,token_f1=0.00",False,entity_coverage=0.00,0,
5a7262335542990c210a4115,plausible_person_swap,"Who was born first, Franco Malerba or Wubbo Ockels?",Wubbo Johannes Ockels,Diana Franco,UNSUPPORTED,False,"embedding_sim=0.41,token_f1=0.00",True,verbatim_span_other_title,0,
5a8338a055429954d2e2ec62,unsupported_additional_clause,"Merimbula Merimbula is a town on the Merimbula Lake, located on which location, that refers to the narrow coastal belt from Sydney in the north to the border with Victoria in the south in the south-eastern part of the State of New South Wales, Australia?",South Coast,"South Coast, related to Clyde River National Park",PARTIAL,True,exact_match,True,verbatim_span_supporting_title,1,
5adff19b55429925eb1afb5c,random_entity,Elois Jenssen earned Academy Awards nominations for design work on an American science fiction action-adventure film written and directed by who?,Steven Lisberger,Microsoft,UNSUPPORTED,False,"embedding_sim=0.50,token_f1=0.00",False,entity_coverage=0.00,0,
5abdf4d855429976d4830a34,truncation,"University of Maryland, College Park is the largest university in that state. In what state is Rutgers University the largest institution for higher learning ? ",New Jersey,New,SUPPORTED,True,containment,True,verbatim_span_supporting_title,0,
5ae5401d5542992663a4f1a0,random_location,Jimmy Rooney was on the Australia national soccer team and a member of what?,1974 World Cup squad,Nairobi,UNSUPPORTED,False,"embedding_sim=0.42,token_f1=0.00",False,entity_coverage=0.00,0,
5ae5ffef554299546bf8300e,random_location,When was the English singer-songwriter who formed the Electric Light Orchestra born,8 November 1947,Reykjavik,UNSUPPORTED,False,"embedding_sim=0.52,token_f1=0.00",False,entity_coverage=0.00,0,
5adf97ee5542995534e8c801,random_entity,"Mary Pierce and Shelby Cannon, share which occupation?",tennis professional,Winston Churchill,UNSUPPORTED,False,"embedding_sim=0.51,token_f1=0.00",False,entity_coverage=0.00,0,
5ae3ffea5542996836b02c0c,entity_replacement_context,"Which enclosed shopping mall was formerly named for Benjamin Franklin and is next to the Millbrook, Philadelphia neighbourhood?",Philadelphia Mills,NY Route,UNSUPPORTED,False,"embedding_sim=0.47,token_f1=0.00",True,verbatim_span_other_title,0,
5ae19532554299234fd0429e,paraphrase_concise,When was the American rapper which was one those whose House Shoes produced their albums born? ,"March 16, 1981","The American rapper was born on March 16, 1981.",SUPPORTED,True,containment,True,verbatim_span_supporting_title,1,
5ac2803f5542996773102544,paraphrase_concise,Are Trevor McNevan and Leslie West both citizens on the same country?,no,They are not from the same country.,UNSUPPORTED,True,containment,False,entity_coverage=0.00,0,
5ac26f0d5542992f1f2b38c5,plausible_person_swap,The sultan who ordered the extermination of specific Armenian districts in the Ottoman Empire in 1895 ws deposed on what date?,27 April 1909,Ottoman Turkish,UNSUPPORTED,False,"embedding_sim=0.49,token_f1=0.00",True,verbatim_span_supporting_title,0,
5ab7ea425542993667794046,plausible_person_swap,"Brackenhill Tower is a peel tower, in the parish of Arthuret, Arthuret is a civil parish in the Carlisle district of Cumbria, in which country?",England,Brackenhill Tower,UNSUPPORTED,False,"embedding_sim=0.50,token_f1=0.00",True,verbatim_span_supporting_title,0,
5a7741905542993735360228,unsupported_additional_clause,"What principal dancer in the Bolshoi ballet, born in 1988, is a student of Valery Lagunov?",Vladislav Lantratov,"Vladislav Lantratov, related to Joy Womack",SUPPORTED,True,exact_match,True,verbatim_span_supporting_title,1,
5abbe945554299114383a08c,paraphrase_concise,The Grinch is a fictional character created by an author that died in what year?,1991,"The Grinch was created by Dr. Seuss, who passed away in 1991.",UNSUPPORTED,True,containment,False,entity_coverage=0.00,1,
5a728c0c5542992359bc30e4,gold,A Bloodhound and a Bloody Mary are both what type of a drink?,cocktail,cocktail,SUPPORTED,True,exact_match,True,verbatim_span_supporting_title,0,
5addfe6c5542997dc790710e,unsupported_additional_clause,"In what year was the creator of the current arrangement of the ""Simpson's Theme"" born?","March 28, 1941","March 28, 1941, related to Doctor Who: The Music",SUPPORTED,True,containment,True,verbatim_span_supporting_title,1,
5a77bd4d5542995d83181290,truncation,Walkin' is the debut mini-album by which South Korean singer-songwriter and record producer?,Shin Su-ran,Shin,UNSUPPORTED,True,containment,False,entity_coverage=0.00,0,
5a7710cb5542994aec3b71d8,entity_replacement_context,"Which has a distinct summit, Saraghrar or Trivor?",Trivor,Its,UNSUPPORTED,False,"embedding_sim=0.55,token_f1=0.00",True,verbatim_span_supporting_title,0,
5a77116355429972597f1425,stage1,What was the name of the album Michael W. Smith recorded at the seventh-largest church in the United States?,Worship Again,Michael W,UNSUPPORTED,False,"embedding_sim=0.50,token_f1=0.00",True,verbatim_span_supporting_title,0,
5abef80c5542997ec76fd3a0,stage1,"In which English town did Adam Chance Angus Rayner appear on stage in ""Romeo and Juliet""?",the town of Stratford-upon-Avon,"Adam Chance Angus Rayner appeared on stage in ""Romeo",UNSUPPORTED,False,"embedding_sim=0.50,token_f1=0.00",True,entity_coverage=1.00,0,
5ab94115554299131ca422e6,unsupported_additional_clause,"Who received more awards for their works, Paul Celan or Jonathan Kellerman?",Jonathan Kellerman,"Jonathan Kellerman, related to Blood Test (novel)",SUPPORTED,True,exact_match,True,verbatim_span_supporting_title,1,
5ae0195a55429925eb1afc11,remove_important_entity,When was the president of Sudan and head of the National Congress Party born who was ordered to arrest by Stevan Arnold Majiedt?,1 January 1944,1 1944,SUPPORTED,True,token_f1=0.80,True,entity_coverage=1.00,0,
5a90685b5542990a9849361d,plausible_organization_swap,Are Electronic Gaming Monthly and MetroSource both magazines?,yes,Davler Media Group,UNSUPPORTED,False,"embedding_sim=0.51,token_f1=0.00",True,verbatim_span_supporting_title,0,
5ab7f030554299366779405a,random_location,"Atoms for Peace are an English-American experimental rock supergroup comprising Radiohead singer Thom Yorke, is an English musician and composer, best known as the singer and principal songwriter of which band?",Radiohead,Buenos Aires,UNSUPPORTED,False,"embedding_sim=0.47,token_f1=0.00",False,entity_coverage=0.00,0,
5a8a5e435542996c9b8d5ec8,gold,Kevin Quinn starred in a Disney channel series which was a spinoff of what show?,Jessie,Jessie,SUPPORTED,True,exact_match,True,verbatim_span_supporting_title,0,
5a873b215542994846c1cd24,stage1,The 2011 Indian Grand Prix was held 40 km from what city? ,Delhi,The 2011 Indian Grand Prix was held 40 km from Delhi.,SUPPORTED,True,containment,True,entity_coverage=1.00,0,
5ae2043f554299234fd04398,paraphrase_concise,D. Ray White is the father of the folk dancer of what nationality?,American,American folk dancer.,SUPPORTED,True,containment,True,verbatim_span_supporting_title,0,
5a810e615542995ce29dcbac,unsupported_additional_clause,What is the seating capacity of the home stadium of the Gulf Coast League Braves?,"9,500","9,500, related to Roger Dean Stadium",SUPPORTED,True,exact_match,True,verbatim_span_supporting_title,1,
5ac3bf5e5542995ef918c20f,wrong_number,The Rossendale Free Press serves the town how far north of Manchester?,19 mi,23 mi,UNSUPPORTED,False,llm_equivalence,False,token_overlap=0.01,0,
5a75448355429916b01642d0,random_entity,"What is the name of the person who was born on May 5, 1972 who is featured in Chocolate City: Vegas Strip?",Darrin Henson,Charles Darwin,UNSUPPORTED,False,"embedding_sim=0.40,token_f1=0.00",False,entity_coverage=0.00,0,
5ae0cce455429945ae959454,stage1,Craig Duane Neal who was selected in the 1988 NBA draft by a team based in which US state ?,Oregon,"Craig Duane Neal was selected by the Portland Trail Blazers, a team",UNSUPPORTED,False,"embedding_sim=0.51,token_f1=0.00",True,entity_coverage=1.00,0,
5a8f110f5542995b44241f49,gold,"Which actor, who describes himself as an ...""Everyman,"" wrote the film Above Suspicion? ",was written by William H. Macy,was written by William H. Macy,SUPPORTED,True,containment,True,verbatim_span_supporting_title,0,
5ac154465542994d76dccdd5,remove_important_entity,Who nominated the justice who wrote the majority opinion in the Supreme Court case Christopher v. SmithKline Beecham Corp?,President George W. Bush,Bush,UNSUPPORTED,True,containment,False,entity_coverage=0.00,0,
5a80ab5f554299485f59869b,gold,"George Edward Entwistle (born 8 July 1962) was Director-General of the BBC during 2012, succeeding who, he current Chief Executive Officer (CEO) of The New York Times Company?",Mark John Thompson,Mark John Thompson,SUPPORTED,True,exact_match,True,verbatim_span_supporting_title,0,
5a764341554299109176e6e9,random_entity,Girard city is located in a county with how many inhabitants ?,"39,134",Winston Churchill,UNSUPPORTED,False,"embedding_sim=0.52,token_f1=0.00",False,entity_coverage=0.00,0,
5ae5f2a655429929b0807a33,entity_replacement_context,"War Front, is an American Thoroughbred racehorse, in 2006 he won which American Thoroughbred horse race held annually near the end of July at Saratoga Race Course in Saratoga Springs, New York?",Alfred G. Vanderbilt Handicap,Saratoga Springs,UNSUPPORTED,False,"embedding_sim=0.47,token_f1=0.00",True,verbatim_span_supporting_title,0,
5a83c1be554299123d8c21a7,random_entity,"Hess Corporation and Intuit, are of which country nationality?",American,Leonardo da Vinci,UNSUPPORTED,False,"embedding_sim=0.53,token_f1=0.00",False,entity_coverage=0.00,0,
5a88b55f5542994846c1cec7,truncation,Which 2004 novel by Judith Guest recounts the murder committed by John Norman Collins known as the Michigan Murders?,The Tarnished Eye,The,SUPPORTED,True,containment,True,verbatim_span_supporting_title,0,
5a7aef7f55429931da12c981,entity_replacement_context,Paul S. Denam is a member of the band Sade but he is also a member of what other English band?,Sweetback,Epic,UNSUPPORTED,False,"embedding_sim=0.51,token_f1=0.00",True,verbatim_span_other_title,0,
5ab7f43f5542993667794067,plausible_person_swap,"What group of people does Texcoco, State of Mexico and National Museum of Anthropology have in common?",Aztec,Filipino People,UNSUPPORTED,False,"embedding_sim=0.55,token_f1=0.00",True,verbatim_span_other_title,0,
5ac07a585542996f0d89cbf0,wrong_year,Tadesse Meskela is the General Manager of the Oromia Coffee Farmers Cooperative Union an was featured in a documentary film released in what year?,2006,2047,UNSUPPORTED,False,llm_equivalence,False,entity_coverage=0.00,0,
5a84660e554299123d8c2234,plausible_person_swap,What star of Common appears in Game of Thrones?,Michelle Fairley,Diana Rigg,UNSUPPORTED,False,llm_equivalence,True,verbatim_span_other_title,0,
5ae55c2b5542992663a4f1e4,random_location,How many stores are in the major shopping centre that is served by the Garden City bus station?,440,Cairo,UNSUPPORTED,False,"embedding_sim=0.52,token_f1=0.00",False,entity_coverage=0.00,0,
5ab94e91554299743d22eaef,random_entity,"No. 11 Squadron RAAF was based at what base, 25 km north of Adelaide?",RAAF Base Edinburgh,Albert Einstein,UNSUPPORTED,False,"embedding_sim=0.40,token_f1=0.00",False,entity_coverage=0.00,0,
5a7cbd7c554299452d57b9e6,random_entity,Who was born first Neil LaBute or H. Bruce Humberstone?,"H. Bruce ""Lucky"" Humberstone",Microsoft,UNSUPPORTED,False,"embedding_sim=0.40,token_f1=0.00",False,entity_coverage=0.00,0,
5ae251fd5542992decbdccb3,random_location,Are Bobby Tench and Marilyn Manson both songwriters?,yes,Jakarta,UNSUPPORTED,False,"embedding_sim=0.51,token_f1=0.00",False,entity_coverage=0.00,0,
5a89f66855429970aeb701b6,unsupported_additional_clause,"Who is best known as the singer/guitarist for the punk rock band Rancid and hip hop/punk rock supergroup the Transplants, Jacoby Shaddix or Tim Armstrong ?",Timothy Ross “Tim” Armstrong,"Timothy Ross “Tim” Armstrong, related to Rancid (band)",SUPPORTED,True,exact_match,True,verbatim_span_supporting_title,1,
5a7c561755429907fabeef61,stage1,Can you name a movie that Josh Hartnett starred in after making O?,Lucky Number Slevin (2006),Yes,UNSUPPORTED,False,"embedding_sim=0.53,token_f1=0.00",True,verbatim_span_other_title,0,
5a7149f45542994082a3e777,entity_replacement_context,What is the best-seller by Ruta Sepetys?,Between Shades of Gray,Josie Moraine,UNSUPPORTED,False,"embedding_sim=0.47,token_f1=0.00",True,verbatim_span_other_title,0,
5a8da26d5542994ba4e3dcdb,entity_replacement_context,"Which film was produced first, Gay Sex in the 70s or Listen to Britain?",Listen to Britain,Berlin,UNSUPPORTED,False,"embedding_sim=0.55,token_f1=0.00",True,verbatim_span_other_title,0,
5ae262985542992decbdcce1,random_location,Are both Tuberaria and Chimonobambusa genus of plants?,yes,Reykjavik,UNSUPPORTED,False,"embedding_sim=0.52,token_f1=0.00",False,entity_coverage=0.00,0,
5ae3bbd15542992e3233c465,plausible_location_swap,"Sons of Elvis and The Wedding Present, have which genre in common?",rock,United States,UNSUPPORTED,False,llm_equivalence,True,verbatim_span_other_title,0,
5ae2f02b55429928c423957d,paraphrase_concise,Who owns the upscale shopping mall known for luxury retail on Florida State Road 922?,Whitman family,The Whitman family owns the upscale shopping mall known for luxury retail on Florida State Road 922.,SUPPORTED,True,containment,True,entity_coverage=1.00,0,
5a7c493255429935c91b514e,random_entity,Philip Skinner created the role of what former Ku Klux Klan organizer in Appomattox?,"Edgar Ray ""Preacher"" Killen",Charles Darwin,UNSUPPORTED,False,"embedding_sim=0.52,token_f1=0.00",False,entity_coverage=0.00,0,
5ac27f785542990b17b153bb,stage1,which retired American basketball player and a sports show host  is one of the owner of Atlanta Hawks,Grant Henry Hill,Grant Hill is a retired American basketball player,UNSUPPORTED,False,llm_equivalence,True,entity_coverage=1.00,0,
5ae05dcc5542993d6555eb0c,gold,"In what year did Dorothy Vaughan, one of the women featured in the 2016 non-fiction book, Hidden Figures, become acting supervisor of the West Area Computers?",1949,1949,SUPPORTED,True,exact_match,True,verbatim_span_supporting_title,0,
5abcb181554299700f9d792c,paraphrase_concise,what chain of British department stores was built in 1961?,Lewis's,Lewis's was founded in 1864 and acquired by Debenhams in 1961.,UNSUPPORTED,True,containment,False,llm_judge_supported,1,
5ac55e365542993e66e8236d,random_entity,The Estonian Philharmonic Chamber Choir performs works by which Estonian classical and religious composer?,Arvo Pärt,Winston Churchill,UNSUPPORTED,False,"embedding_sim=0.45,token_f1=0.00",False,entity_coverage=0.00,0,
5ae631a45542992ae0d16272,stage1,"Ettore or Edoardo Ettore Forti was an Italian painter, who was prolific in depicting realistic Neo-Pompeian scenes of Ancient Roman life and events, these subjects were popular in the late-Victorian period, as exemplified by the popularity of Lawrence Alma-Tadema, born in Dronrijp, in which country?",Netherlands,"Lawrence Alma-Tadema was born in Dronrijp, Netherlands.",UNSUPPORTED,True,exact_match,False,entity_coverage=0.00,1,
5ae4cc3f55429908b632647d,entity_replacement_context,Where was the British singer-songwriter who composed The Princess Bride's soundtrack born?,Glasgow,Dire Straits,UNSUPPORTED,False,"embedding_sim=0.55,token_f1=0.00",True,verbatim_span_supporting_title,0,
5a8544075542997b5ce3ffda,plausible_location_swap,"Between Charles M. Schulz–Sonoma County Airport and Lake Hood Seaplane Base, which airport is of a larger scale?",Lake Hood Seaplane Base,King County,UNSUPPORTED,False,"embedding_sim=0.53,token_f1=0.00",True,verbatim_span_other_title,0,
5add7c535542992200553b3b,plausible_location_swap,"Which studio album released in 2014 has this song that is featured in ""Now That's What I Call Music! 56?""",1989,United States,UNSUPPORTED,False,llm_equivalence,True,verbatim_span_supporting_title,0,
5ab711e1554299110f219aae,entity_replacement_context,"What is this shopping centre in Nottingham, England located near the Royal Centre tram stop?",Victoria Centre,Shipstone Street,UNSUPPORTED,False,llm_equivalence,True,verbatim_span_other_title,0,
5a7a59c05542990783324f21,gold,What national basketball association player also represens the dominiDom republic national team?,Al Horford,Al Horford,UNSUPPORTED,True,exact_match,False,entity_coverage=0.00,0,
5ae4b6265542995ad6573e29,unsupported_additional_clause,"The band Paramore released the song ""Playing God"" on which album released through Fueled by Ramen?",Brand New Eyes,"Brand New Eyes, related to Paramore (album)",SUPPORTED,True,exact_match,True,verbatim_span_supporting_title,1,
5ab9ca43554299753720f872,gold,The Rentals and Suede are both what?,rock band,rock band,SUPPORTED,True,exact_match,True,verbatim_span_supporting_title,0,
5ac2d9ff554299218029db86,stage1,A Very Harold & Kumar 3D Christmas is part of what series?,"the ""Harold & Kumar"" series.","The film ""A Very Harold & Kumar 3D Christmas"" is the third",SUPPORTED,True,llm_equivalence,True,entity_coverage=1.00,0,
5ab7a4b15542995dae37e982,unsupported_additional_clause,Which novenario are part of The Guadalupe-Reyes Marathon?,Las Posadas,"Las Posadas, related to Guadalupe-Reyes Marathon",SUPPORTED,True,exact_match,True,verbatim_span_supporting_title,1,
5ae623b55542995703ce8b24,unsupported_additional_clause,Where was the docmentary television show Inked located when filmed?,Las Vegas Valley,"Las Vegas Valley, related to Wishbone (TV series)",PARTIAL,True,exact_match,True,verbatim_span_supporting_title,1,
5a7de5865542995f4f4022f3,plausible_person_swap,In what year was the man born who coached The 1973 Indiana Hoosiers football team?,1935,Bernie Crimmins,UNSUPPORTED,False,"embedding_sim=0.46,token_f1=0.00",True,verbatim_span_other_title,0,
5adce28f5542990d50227d52,plausible_person_swap,"Heinrick Palmgren hosts a show called Red Ice Radio, which has featured David Of me. In what year was David Of me born?",1952,Lana Lokteff,UNSUPPORTED,False,"embedding_sim=0.45,token_f1=0.00",True,verbatim_span_supporting_title,0,
5ab53ff1554299637185c53a,unsupported_additional_clause, The Railway Hotel was used in a film about what Cambodian regime?,Khmer Rouge,"Khmer Rouge, related to Railway Hotel, Edgware",SUPPORTED,True,exact_match,True,verbatim_span_supporting_title,1,
5a7246425542990c210a4097,plausible_person_swap,"Of the two Universities, University of Wisconsin–Madison or University of Kansas, is located on Mount Oread?",University of Kansas,Overland Park,UNSUPPORTED,False,llm_equivalence,True,verbatim_span_supporting_title,0,
5a905b205542995651fb5146,truncation,What years did the driver of the McLaren MP4/13 win the Formula One World Champion?,1998 and 1999,1998,SUPPORTED,True,containment,True,verbatim_span_supporting_title,0,
5a7246425542990c210a4097,gold,"Of the two Universities, University of Wisconsin–Madison or University of Kansas, is located on Mount Oread?",University of Kansas,University of Kansas,SUPPORTED,True,exact_match,True,verbatim_span_supporting_title,0,
5a734fb35542992359bc32f7,remove_important_entity,What suicide attack was located inside the Forward Operating Base Chapman? ,Camp Chapman attack,attack,SUPPORTED,True,containment,True,verbatim_span_supporting_title,0,
5a72cc2355429901807daf3f,unsupported_additional_clause,Who is  Georgia O'Keeffe?,American artist.,"American artist., related to Georgia O'Keeffe Home and Studio",SUPPORTED,True,exact_match,True,verbatim_span_supporting_title,1,
5ae628e955429929b0807ae6,paraphrase_concise,Where was Proof born and where did he end up dying?,"Detroit, Michigan","Proof was born in Detroit, Michigan, and died there.",SUPPORTED,True,containment,True,verbatim_span_supporting_title,1,
5a8e8c3e5542990e94052b48,entity_replacement_context,What state was the president who appointed Fran P. Mainella to be the 16th Director of the National Park Service of the United States once governor of?,Texas,United Kingdom,UNSUPPORTED,False,llm_equivalence,True,verbatim_span_other_title,0,
5a7f98e655429969796c1ad8,remove_important_entity,"The 1990 European Cup Final was a football match between Milan of Italy and Benfica of Portugal, played on which dater, The winning goal came in the 68th minute for Milan when Alessandro Costacurta passed the ball to Marco van Basten, who slotted it to Frank Rijkaard, who ran through the defense and scored, Franklin Edmundo ""Frank"" Rijkaard, is a Dutch former footballer and former manager who played as a midfielder or defender?",23 May 1990,23 1990,SUPPORTED,True,token_f1=0.80,True,entity_coverage=1.00,0,
5ac1b7495542994ab5c67dd9,gold,What genre of music is the solo artist that contributed to Real Damage a variant of?,synth-pop,synth-pop,SUPPORTED,True,exact_match,True,verbatim_span_supporting_title,0,
5abd13d855429933744ab70c,plausible_person_swap,"Carlo Prater holds a notable win other what American mixed martial artist born March 30, 1983 who competes in the Welterweight division",Melvin Guillard,Legacy FC,UNSUPPORTED,False,"embedding_sim=0.39,token_f1=0.00",True,verbatim_span_supporting_title,0,
5ae294e35542996483e64a03,gold,When was the Houston Rockets point guard recruited by Frank Sullivan born?,"August 23, 1988","August 23, 1988",UNSUPPORTED,True,containment,False,entity_coverage=0.00,0,
5adc855b554299438c868dd5,stage1,When was one of the hosts born who hosts Newsday from Washington?,born 14 November 1964,"Katty Kay was born on November 14, 1964.",SUPPORTED,True,containment,True,verbatim_span_supporting_title,1,
5a8f9a34554299458435d692,paraphrase_concise,Do the genuses Coniogramme and Merremia belong to the same family?,no,"No, they do not share a common family affiliation.",PARTIAL,True,exact_match,True,verbatim_span_supporting_title,1,
5a74f3a05542996c70cfae4f,plausible_location_swap,Which chalet-style building was demolished when construction began on the seventh Disney Vacation Club resort?,Walt Disney World Conference Center,Club Lake,UNSUPPORTED,False,"embedding_sim=0.55,token_f1=0.00",True,verbatim_span_supporting_title,0,
5a83c3685542996488c2e4c0,entity_replacement_context,Murder in a Blue World starred which American businessman?,"Christopher ""Chris"" Mitchum",Christopher Mitchum,SUPPORTED,True,token_f1=0.80,True,verbatim_span_supporting_title,0,
5a8c8ffe554299653c1aa0bb,stage1,Eddie Cahill is best known for portraying a retired American ice hockey goaltender who was part of the 1980 U.S. hockey team that won the gold medal at the Olympic games that were held where?,Lake Placid,"Eddie Cahill is best known for portraying Jim Craig, a retired American",UNSUPPORTED,False,"embedding_sim=0.42,token_f1=0.00",True,entity_coverage=1.00,1,
5ae2e660554299492dc91c7e,random_entity,Which American actor and writer produced To Be or Not to Be,Mel Brooks,Leonardo da Vinci,UNSUPPORTED,False,"embedding_sim=0.49,token_f1=0.00",False,entity_coverage=0.00,0,
5a83db6b554299334474609a,entity_replacement_context,Ziegfeld Follies is a 1946 American musical comedy film starring an american film actress who was also a what?,dancer,Wilson,UNSUPPORTED,False,"embedding_sim=0.52,token_f1=0.00",True,verbatim_span_other_title,0,
5a90804c5542995651fb5176,paraphrase_concise,What kind of music did Old School Flava and Grandmaster Flash and the Furious five create?,rap,Hip-hop.,UNSUPPORTED,True,llm_equivalence,False,entity_coverage=0.00,0,
5ab492315542991751b4d7b0,paraphrase_concise,"In which city was this writer of historical romance fiction to whom ""A Company of Swans"" was dedicated born?","London, England","The writer of historical romance fiction to whom ""A Company of Swans"" was dedicated was born in",UNSUPPORTED,False,"embedding_sim=0.37,token_f1=0.00",True,entity_coverage=1.00,0,
5ab5e4d0554299494045f0a7,plausible_person_swap,"Jinchang and Liling, are located in which country?",China,Lusong District,UNSUPPORTED,False,"embedding_sim=0.50,token_f1=0.00",True,verbatim_span_supporting_title,0,
5a7fe3d75542994857a76829,gold,Kajol is a forerunner for what award that started in 2001?,Star Screen Award Jodi No. 1,Star Screen Award Jodi No. 1,SUPPORTED,True,containment,True,verbatim_span_supporting_title,0,
5adcb76f5542994ed6169bce,plausible_organization_swap,What country are K. R. Kaushik and Narendra Modi from? ,India,Bharatiya Janata Party,UNSUPPORTED,False,llm_equivalence,True,verbatim_span_supporting_title,0,
5a8550925542991dd0999e50,gold,"Custom knifemaker Gil Hibben designed the knifes used by Ed Parker in this martial art characterized by the use of quick and powerful strikes delivered from the body's natural weapons, powered by rapid stance transitions?",American Kenpo,American Kenpo,SUPPORTED,True,exact_match,True,verbatim_span_supporting_title,0,
